cell_type	gene_symbol	ensembl_id	rank	score	pct_expressed	pct_others	p_val_adj	gene_biotype
CGE-derived interneuron	LGI2	ENSG00000153012	37	2.70787619261324	0.309	0.055	2.29287307417538e-236	protein_coding
CGE-derived interneuron	IL1RAPL2	ENSG00000189108	38	2.70651012089347	0.512	0.114	0.0	protein_coding
CGE-derived interneuron	NECAB2	ENSG00000103154	39	2.65400218772487	0.504	0.147	1.02732342815018e-240	protein_coding
CGE-derived interneuron	PRELID2	ENSG00000186314	40	2.60622198986198	0.54	0.222	2.38224487077598e-152	protein_coding
CGE-derived interneuron	ERBB4	ENSG00000178568	41	2.60048417748032	0.998	0.542	0.0	protein_coding
CGE-derived interneuron	ELFN1	ENSG00000225968	42	2.5470991786026	0.295	0.048	5.56706111060101e-243	protein_coding
CGE-derived interneuron	SYNPR	ENSG00000163630	43	2.52322699822959	0.878	0.336	0.0	protein_coding
CGE-derived interneuron	GAD1	ENSG00000128683	44	2.48295697874925	0.922	0.258	0.0	protein_coding
CGE-derived interneuron	ENSG00000287694	ENSG00000287694	45	2.47665958415755	0.512	0.158	6.471441709548329e-216	protein_coding
CGE-derived interneuron	TMEM200C	ENSG00000206432	46	2.46774222604679	0.294	0.062	5.76963724757936e-179	protein_coding
CGE-derived interneuron	PCP4L1	ENSG00000248485	47	2.44670164039957	0.416	0.126	4.04360384780306e-172	protein_coding
CGE-derived interneuron	GRIN2D	ENSG00000105464	48	2.42705435214822	0.528	0.127	0.0	protein_coding
CGE-derived interneuron	FSTL5	ENSG00000168843	49	2.38795690404595	0.808	0.347	0.0	protein_coding
CGE-derived interneuron	PARM1	ENSG00000169116	50	2.37281953822039	0.589	0.193	3.2363624011060096e-251	protein_coding
Cerebellar inhibitory	CRTAM	ENSG00000109943	1	6.59467944006604	0.414	0.009	0.0	protein_coding
Cerebellar inhibitory	SCGN	ENSG00000079689	2	6.38882431005847	0.693	0.025	0.0	protein_coding
Cerebellar inhibitory	LRRC38	ENSG00000162494	3	5.67376722481389	0.522	0.011	0.0	protein_coding
Cerebellar inhibitory	PAX2	ENSG00000075891	4	5.37003834516708	0.352	0.008	0.0	protein_coding
Cerebellar inhibitory	PLEKHD1	ENSG00000175985	5	5.19080462650875	0.675	0.05	0.0	protein_coding
Cerebellar inhibitory	ZNF385C	ENSG00000187595	6	4.96352923135337	0.289	0.013	0.0	protein_coding
Cerebellar inhibitory	TFAP2B	ENSG00000008196	7	4.90590822002685	0.833	0.015	0.0	protein_coding
Cerebellar inhibitory	SYT2	ENSG00000143858	8	4.84827530895774	0.889	0.113	0.0	protein_coding
Cerebellar inhibitory	BHLHE22	ENSG00000180828	9	4.82168280760862	0.758	0.063	0.0	protein_coding
Cerebellar inhibitory	LIPG	ENSG00000101670	10	4.71223713851194	0.676	0.044	0.0	protein_coding
Cerebellar inhibitory	CHRNA3	ENSG00000080644	11	4.5877564036412	0.432	0.031	0.0	protein_coding
Cerebellar inhibitory	MARCHF11	ENSG00000183654	12	4.50993490636687	0.861	0.267	0.0	protein_coding
Cerebellar inhibitory	IL15	ENSG00000164136	13	4.32173995413284	0.599	0.042	0.0	protein_coding
Cerebellar inhibitory	EN2	ENSG00000164778	14	4.29865711937944	0.314	0.009	0.0	protein_coding
Cerebellar inhibitory	GRID2	ENSG00000152208	15	4.09655982101039	1.0	0.611	0.0	protein_coding
Cerebellar inhibitory	EML5	ENSG00000165521	16	4.02119493579052	0.974	0.473	0.0	protein_coding
Cerebellar inhibitory	PVALB	ENSG00000100362	17	4.01418183289439	0.817	0.061	0.0	protein_coding
Cerebellar inhibitory	SIAH3	ENSG00000215475	18	4.00973938145713	0.771	0.134	0.0	protein_coding
Cerebellar inhibitory	TRIM67	ENSG00000119283	19	4.00930295355244	0.65	0.084	0.0	protein_coding
Cerebellar inhibitory	CLMP	ENSG00000166250	20	4.00383992153995	0.934	0.194	0.0	protein_coding
Cerebellar inhibitory	ADAMTS2	ENSG00000087116	21	3.90865904751384	0.635	0.082	0.0	protein_coding
Cerebellar inhibitory	KIT	ENSG00000157404	22	3.8107610812197	0.958	0.175	0.0	protein_coding
Cerebellar inhibitory	TFAP2A	ENSG00000137203	23	3.77772413136419	0.494	0.015	0.0	protein_coding
Cerebellar inhibitory	EXPH5	ENSG00000110723	24	3.68835189385733	0.85	0.116	0.0	protein_coding
Cerebellar inhibitory	SORCS3	ENSG00000156395	25	3.60540574246586	0.869	0.361	0.0	protein_coding
Cerebellar inhibitory	DUSP10	ENSG00000143507	26	3.57091660050944	0.778	0.1	0.0	protein_coding
Cerebellar inhibitory	GRM1	ENSG00000152822	27	3.55716107120891	0.992	0.345	0.0	protein_coding
Cerebellar inhibitory	TCERG1L	ENSG00000176769	28	3.53968895999055	0.785	0.175	0.0	protein_coding
Cerebellar inhibitory	ADAM11	ENSG00000073670	29	3.48349691403565	0.87	0.26	0.0	protein_coding
Cerebellar inhibitory	FAM131C	ENSG00000185519	30	3.44166522047862	0.274	0.033	0.0	protein_coding
Cerebellar inhibitory	MEGF10	ENSG00000145794	31	3.40932945369671	0.839	0.17	0.0	protein_coding
Cerebellar inhibitory	ABTB3	ENSG00000151136	32	3.4054318655437	0.925	0.196	0.0	protein_coding
Cerebellar inhibitory	HRH3	ENSG00000101180	33	3.39434037601762	0.694	0.137	0.0	protein_coding
Cerebellar inhibitory	NOS1	ENSG00000089250	34	3.37126546527171	0.826	0.151	0.0	protein_coding
Cerebellar inhibitory	RYR1	ENSG00000196218	35	3.36306692611041	0.843	0.164	0.0	protein_coding
Cerebellar inhibitory	TRPC5	ENSG00000072315	36	3.34548939842856	0.887	0.2	0.0	protein_coding
Cerebellar inhibitory	INPP4B	ENSG00000109452	37	3.31367854156402	0.996	0.585	0.0	protein_coding
Cerebellar inhibitory	CACNA2D2	ENSG00000007402	38	3.24236797224652	0.676	0.136	0.0	protein_coding
Cerebellar inhibitory	FGF5	ENSG00000138675	39	3.21919079141214	0.349	0.064	1.4457867037507401e-269	protein_coding
Cerebellar inhibitory	AKAIN1	ENSG00000231824	40	3.1787196800915	0.392	0.077	5.906701423837459e-286	protein_coding
Cerebellar inhibitory	CDH22	ENSG00000149654	41	3.15828051932743	0.502	0.174	2.98665492454208e-200	protein_coding
Cerebellar inhibitory	LMCD1	ENSG00000071282	42	3.15124657872686	0.586	0.106	0.0	protein_coding
Cerebellar inhibitory	COL8A2	ENSG00000171812	43	3.13020187507612	0.253	0.022	0.0	protein_coding
Cerebellar inhibitory	PLCH1	ENSG00000114805	44	3.08049724413853	0.85	0.272	0.0	protein_coding
Cerebellar inhibitory	SYN3	ENSG00000185666	45	3.0749623043142	0.997	0.457	0.0	protein_coding
Cerebellar inhibitory	LPL	ENSG00000175445	46	3.07472787947877	0.671	0.08	0.0	protein_coding
Cerebellar inhibitory	ZNF521	ENSG00000198795	47	3.07422743700268	0.983	0.336	0.0	protein_coding
Cerebellar inhibitory	LGI2	ENSG00000153012	48	3.04590968522009	0.292	0.055	3.26944827624514e-206	protein_coding
Cerebellar inhibitory	RORA	ENSG00000069667	49	3.02341978806625	0.999	0.856	0.0	protein_coding
Cerebellar inhibitory	ABCG4	ENSG00000172350	50	3.0180765956598	0.276	0.07	1.29333372975565e-140	protein_coding
Chandelier cell	LHX6	ENSG00000106852	1	4.4613482431741	0.7	0.032	0.0	protein_coding
