Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
WNT2B,8.442284e-08,-14.512615203857422,0.7237261072174915,1.097161,0.29488997935653827,1.0
C11orf58,8.439434e-08,-14.512882232666016,0.7231666291625083,1.0964205,0.2950529932551867,1.0
TNPO3,8.4359755e-08,-14.513206481933594,0.7224872629528856,1.095522,0.29525093252837015,1.0
DOCK2,8.434802e-08,-14.51331615447998,0.7222574773231603,1.0952172,0.29531812398437385,1.0
DTNA,8.4336634e-08,-14.513422966003418,0.7220336861011669,1.0949216,0.29538331079371277,1.0
NCOR1,8.4335376e-08,-14.513434410095215,0.7220097084702392,1.094889,0.2953904877262121,1.0
MAML3,8.429378e-08,-14.513824462890625,0.7211924708827813,1.0938092,0.2956287414299962,1.0
KAT6A,8.426152e-08,-14.514126777648926,0.7205590617991038,1.0929722,0.29581361147403507,1.0
KYNU,8.418851e-08,-14.514812469482422,0.719122402079343,1.0910789,0.2962322881061926,1.0
XRCC5,8.4164085e-08,-14.51504135131836,0.7186428494607858,1.0904459,0.29637243826070325,1.0
EXT1,8.416259e-08,-14.515055656433105,0.718612877422126,1.0904073,0.29638099254824524,1.0
BRWD1,8.414972e-08,-14.515175819396973,0.7183611122973834,1.0900737,0.29645487886462923,1.0
VTI1A,8.4096385e-08,-14.515677452087402,0.717310092808379,1.0886923,0.2967611329467309,1.0
SLC38A4-AS1,8.407125e-08,-14.515913009643555,0.7168165532384473,1.0880418,0.29690549416455664,1.0
SCIN,8.400337e-08,-14.516551971435547,0.7154778021783086,1.0862854,0.2972957225813274,1.0
ATRX,8.399629e-08,-14.516618728637695,0.7153379326645628,1.0861024,0.29733641475363076,1.0
USP53,8.398845e-08,-14.516692161560059,0.7151840761994424,1.0858996,0.2973815158662224,1.0
MOB3B,8.3961375e-08,-14.516946792602539,0.7146505739112975,1.0851996,0.297537276351276,1.0
PJA2,8.395046e-08,-14.517049789428711,0.7144347752329467,1.0849174,0.2976000929453032,1.0
RPL36A,8.394179e-08,-14.517130851745605,0.7142649336805411,1.0846933,0.29764999743396825,1.0
KIDINS220,8.3908176e-08,-14.517447471618652,0.7136015525582037,1.0838248,0.29784350545379784,1.0
SCAF4,8.390508e-08,-14.517477035522461,0.7135396103449735,1.0837448,0.29786133458972436,1.0
MAP3K2,8.3838074e-08,-14.518108367919922,0.71221684437212,1.0820146,0.29824732181183145,1.0
SLC2A13,8.383332e-08,-14.518153190612793,0.7121229319843192,1.0818918,0.2982747381857094,1.0
RPL19,8.380343e-08,-14.518434524536133,0.711533481890676,1.0811204,0.29844705634176794,1.0
MAP4K5,8.374557e-08,-14.518980979919434,0.7103885500138708,1.0796281,0.29878076522788594,1.0
RNPC3,8.37177e-08,-14.519243240356445,0.7098390626384408,1.0789096,0.2989416060505936,1.0
DDX39B,8.366871e-08,-14.519705772399902,0.7088699667217732,1.0776473,0.2992244614585001,1.0
SAMTOR,8.36633e-08,-14.519757270812988,0.7087620673825978,1.0775081,0.29925568237749345,1.0
EPS15,8.364539e-08,-14.519926071166992,0.7084083973264119,1.0770466,0.29935918509874737,1.0
TRIM24,8.363255e-08,-14.520048141479492,0.7081526359298481,1.0767161,0.2994333578342867,1.0
REPS1,8.3606174e-08,-14.520297050476074,0.7076311224571672,1.076037,0.29958578972713545,1.0
MSI2,8.358317e-08,-14.520514488220215,0.7071755474695379,1.0754448,0.2997188209975423,1.0
MSN,8.356712e-08,-14.520666122436523,0.7068578438597438,1.075032,0.29981159690770465,1.0
EHMT1,8.3558184e-08,-14.520750999450684,0.7066800097636955,1.074802,0.2998632920410951,1.0
EMB,8.34893e-08,-14.521402359008789,0.7053152829367183,1.0730306,0.3002619090877646,1.0
USP24,8.3431644e-08,-14.521947860717773,0.7041723491958237,1.0715492,0.3005957854123086,1.0
ACACA,8.3424894e-08,-14.522011756896973,0.7040384740898099,1.0713757,0.30063490817956795,1.0
