Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
ZFP36L1,2.5631651e-08,-35.07490158081055,-1.5071196835666272,0.10240965,0.7489568967246456,0.816425589201112
LNPEP,2.5621203e-08,-35.07633972167969,-1.5079053969068297,0.10232617,0.7490557978475338,0.8162369097096766
FILIP1L,2.5617542e-08,-35.076847076416016,-1.5081825849021795,0.10229693,0.7490904436142053,0.8159783743325698
CMTM6,2.558615e-08,-35.0811767578125,-1.51054806140385,0.10204637,0.7493875935478063,0.8160058665591315
TPP2,2.5572815e-08,-35.0830192565918,-1.511554691492226,0.101940036,0.7495138204364387,0.8158472887666857
DNAJC10,2.555607e-08,-35.08533477783203,-1.5128197524935598,0.10180657,0.7496723523965811,0.8157239773539304
TET3,2.5550893e-08,-35.0860481262207,-1.5132094829832623,0.101765335,0.7497213608892668,0.81548162523693
CAB39,2.55499e-08,-35.086185455322266,-1.5132845113128308,0.10175742,0.7497307653956763,0.8151963865769654
ABHD15-AS1,2.5539e-08,-35.08769226074219,-1.5141077388178175,0.10167062,0.7498339580502805,0.815013295222344
TMEM259,2.552125e-08,-35.09014892578125,-1.5154499122689855,0.10152934,0.7500020311807444,0.8149008311272317
RAB10,2.5493428e-08,-35.0940055847168,-1.517556957857698,0.1013081,0.7502654744465901,0.8148920335918266
SLC30A9,2.5476876e-08,-35.09629821777344,-1.5188095141374371,0.10117659,0.7504222231398359,0.8147673992918406
LAT2,2.5470355e-08,-35.097206115722656,-1.519305534760695,0.10112481,0.7504839729962433,0.8145397479065917
SPIN1,2.5469728e-08,-35.0972900390625,-1.5193513854065424,0.101119824,0.7504899178936604,0.8142517149670552
MAPRE2,2.546228e-08,-35.098323822021484,-1.5199161819985711,0.10106069,0.7505604603291247,0.814033950649694
YWHAH,2.5447658e-08,-35.1003532409668,-1.5210249339799706,0.10094466,0.7506989360378413,0.8138899953213735
APAF1,2.5445722e-08,-35.100624084472656,-1.5211729065188417,0.1009293,0.7507172779878897,0.8136159448326677
HLA-B,2.5443871e-08,-35.10087966918945,-1.5213125425766496,0.10091461,0.7507348119093176,0.8133412168013943
MED23,2.5412648e-08,-35.105220794677734,-1.5236842714391174,0.1006671,0.7510305559158361,0.8133679892830834
TCF4,2.5375844e-08,-35.11034393310547,-1.526483244956072,0.10037572,0.7513792211804693,0.8134520356286393
TSHR-AS1,2.5357267e-08,-35.11293029785156,-1.5278962784962766,0.10022881,0.7515552271298911,0.8133491657471342
CDC123,2.535433e-08,-35.11334228515625,-1.528121363484982,0.10020559,0.7515830540159605,0.8130860652854713
SND1,2.5323436e-08,-35.117652893066406,-1.5304764193853233,0.09996155,0.7518757815711091,0.8131096290071707
SKAP2,2.5320515e-08,-35.11806106567383,-1.5306994202537627,0.09993849,0.7519034615353679,0.812846645557507
SQSTM1,2.5317664e-08,-35.11845779418945,-1.5309161687614048,0.09991599,0.7519304741273085,0.8125831303046643
SYNJ1,2.531453e-08,-35.118896484375,-1.5311558425919705,0.09989124,0.7519601918427492,0.8123227270410692
GALK2,2.5312247e-08,-35.11921310424805,-1.531328824574031,0.09987322,0.7519818251647137,0.8120537809713226
MAGI1,2.5217249e-08,-35.132511138916016,-1.5385940678205712,0.099124976,0.7528822351219058,0.8127336646046185
SLC25A36,2.5210673e-08,-35.13343048095703,-1.5390963408046263,0.09907328,0.7529445770830525,0.8125086932133191
PELI1,2.5201524e-08,-35.13471603393555,-1.539798689334197,0.0990014,0.753031299687536,0.81231018345158
EEA1,2.5173994e-08,-35.138580322265625,-1.5419099031634411,0.098785214,0.7532923233840587,0.8122997709218687
ZNF407,2.517054e-08,-35.13906478881836,-1.5421745864371965,0.09875811,0.7533250724339766,0.8120432982666537
AUTS2,2.5161134e-08,-35.14038848876953,-1.5428977761694251,0.09868431,0.7534142616605468,0.8118478273764097
PCLO,2.5143105e-08,-35.14292526245117,-1.5442837161461749,0.09854294,0.7535852147544734,0.8117405705233937
TTC7B,2.510186e-08,-35.14873123168945,-1.5474557471907056,0.0982199,0.7539763705570035,0.8118705016295541
RDX,2.509542e-08,-35.14963912963867,-1.5479517678139632,0.09816952,0.7540374378395551,0.8116450326242844
DIAPH2-AS1,2.5092245e-08,-35.15008544921875,-1.5481956098850604,0.09814467,0.7540675623936586,0.8113864305282787
RAB30-DT,2.507996e-08,-35.151817321777344,-1.5491418004857287,0.0980486,0.7541840804077884,0.8112209409690943
TRA2B,2.5078425e-08,-35.152034759521484,-1.5492605953408787,0.09803659,0.7541986506962186,0.8109459515368513
PURA,2.506152e-08,-35.154422760009766,-1.5505652546272626,0.09790448,0.7543589795434589,0.8108278286568481
EED,2.5016524e-08,-35.1607780456543,-1.5540373989900669,0.09755322,0.7547858568431048,0.8109961891822977
